Job post title;Firm name;Firm page;International students
STAGE ASSISTANT TRADE TERMS & SALES OPERATIONS SPECIALIST;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
STAGE ASSISTANT TRADE MARKETING MANAGER;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
STAGE HR MANAGER ASSISTANT;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
STAGE AMBIENTE SALUTE E SICUREZZA;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
STAGE JUNIOR BUYER;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
STAGE CONTROLLO DI GESTIONE;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
STAGE DEMAND PLANNING ASSISTANT;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
Facility Management Trainee;Gruppo Montenegro;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=98;TRUE
Buyer Trainee;Gruppo Montenegro;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=98;TRUE
Regulatory Trainee;Gruppo Montenegro;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=98;TRUE
HR Talent Partner Trainee;Gruppo Montenegro;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=98;TRUE
Quality Assurance Trainee - Manifacturing;Gruppo Montenegro;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=98;TRUE
Stage Curriculare Multidisciplinare;Hogan Lovells Studio Legale;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=54;FALSE
Graduated Students/Trainees;Hogan Lovells Studio Legale;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=54;FALSE
Giovane Professionista per il Dipartimento di Diritto Amministrativo (Global Regulatory - Environment) Roma;Hogan Lovells Studio Legale;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=54;FALSE
Giovane professionista per il dipartimento di Debt Capital Markets, sede di Milano;Hogan Lovells Studio Legale;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=54;FALSE
Stage Curriculare Multidisciplinare;IBM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=116;FALSE
Graduated Students/Trainees;IBM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=116;FALSE
Giovane Professionista per il Dipartimento di Diritto Amministrativo (Global Regulatory - Environment) Roma;IBM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=116;FALSE
Giovane professionista per il dipartimento di Debt Capital Markets, sede di Milano;IBM;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=116;FALSE
Stage Curriculare Multidisciplinare;IMCD Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=29;FALSE
